scenario,endpoint,pass_500,pass_rest,pass_all,n_all,z,outside_mc
F085,Cmax,14.8,16.4888888888889,16.32,5000,-0.969474571581041,FALSE
F085,AUClast,0.4,0.333333333333333,0.34,5000,0.242948989978663,FALSE
F085,AUCinf_all,1,1,1,5000,0,FALSE
F085,AUCinf_reliable,2.6,2.2,2.24,5000,0.573405220484304,FALSE
F085,AUCinf_true,0.4,0.377777777777778,0.38,5000,0.0766176233327154,FALSE
F090,Cmax,72.8,73.2888888888889,73.24,5000,-0.234260573182782,FALSE
F090,AUClast,23,23.3555555555556,23.32,5000,-0.178364491740071,FALSE
F090,AUCinf_all,33.4,33.3111111111111,33.32,5000,0.04000400220058,FALSE
F090,AUCinf_reliable,34.8,34.2444444444445,34.3,5000,0.248258431384862,FALSE
F090,AUCinf_true,27,28.2888888888889,28.16,5000,-0.607886151432131,FALSE
F097,Cmax,99.6,99.7333333333333,99.72,5000,-0.53527239047412,FALSE
F097,AUClast,96.2,96.9333333333334,96.86,5000,-0.892011855680098,FALSE
F097,AUCinf_all,97.4,98.3333333333333,98.24,5000,-1.50571411874997,FALSE
F097,AUCinf_reliable,95.4,96.4222222222222,96.32,5000,-1.15177972290057,FALSE
F097,AUCinf_true,97.8,98.0888888888889,98.06,5000,-0.444314294900248,FALSE
F110,Cmax,84.6,83.6615384615385,83.685,20000,0.560772152907255,FALSE
F110,AUClast,39.4,38.374358974359,38.4,20000,0.465614746112161,FALSE
F110,AUCinf_all,49.2,47.6051282051282,47.645,20000,0.705058804200134,FALSE
F110,AUCinf_reliable,51.4,49.148717948718,49.205,20000,0.994264923980971,FALSE
F110,AUCinf_true,45,44.4666666666667,44.48,20000,0.236962116343947,FALSE
KE110,Cmax,100,99.9555555555555,99.96,5000,0.471498829988945,FALSE
KE110,AUClast,95.8,96.5333333333333,96.46,5000,-0.841845555097132,FALSE
KE110,AUCinf_all,96.8,97.9111111111111,97.8,5000,-1.60687827690269,FALSE
KE110,AUCinf_reliable,95.4,95.7555555555556,95.72,5000,-0.372640879573353,FALSE
KE110,AUCinf_true,97.2,97.9333333333333,97.86,5000,-1.07497457015598,FALSE
KE120,Cmax,99.6,99.7111111111111,99.7,5000,-0.430978436145518,FALSE
KE120,AUClast,77.4,76.5555555555556,76.64,5000,0.423363265634875,FALSE
KE120,AUCinf_all,81.4,81.8,81.76,5000,-0.219726981596358,FALSE
KE120,AUCinf_reliable,76.4,76.4666666666667,76.46,5000,-0.0333345519186732,FALSE
KE120,AUCinf_true,82,82.3555555555556,82.32,5000,-0.197706029603798,FALSE
S00,Cmax,100,99.9641025641026,99.965,20000,0.423733432708467,FALSE
S00,AUClast,100,99.5282051282051,99.54,20000,1.53944008899252,FALSE
S00,AUCinf_all,100,99.7538461538462,99.76,20000,1.11073407402898,FALSE
S00,AUCinf_reliable,98.8,99.3230769230769,99.31,20000,-1.39518511469714,FALSE
S00,AUCinf_true,100,99.7692307692308,99.775,20000,1.07538279798925,FALSE
VM125,Cmax,99,99.2,99.18,5000,-0.470454118012182,FALSE
VM125,AUClast,36.4,36.6222222222222,36.6,5000,-0.0978607571263554,FALSE
VM125,AUCinf_all,64,62.5111111111111,62.66,5000,0.652959423115752,FALSE
VM125,AUCinf_reliable,63.8,64.5111111111111,64.44,5000,-0.315126611366941,FALSE
VM125,AUCinf_true,47.4,48.1111111111111,48.04,5000,-0.301930962088871,FALSE
VM150,Cmax,90.4,89.7128205128205,89.73,20000,0.499808274038668,FALSE
VM150,AUClast,0,0.0769230769230769,0.075,20000,-0.620406368973096,FALSE
VM150,AUCinf_all,1.8,2.86666666666667,2.84,20000,-1.4177939229879,FALSE
VM150,AUCinf_reliable,6.2,6.5025641025641,6.495,20000,-0.271080148772411,FALSE
VM150,AUCinf_true,0.2,0.230769230769231,0.23,20000,-0.141820837244827,FALSE
