scenario,metric,x,n,est,lo,hi,n_trials
F085,AUCinf_all,50,5000,1,0.759377281394657,1.31585750922094,5000
F085,AUCinf_reliable,112,5000,2.24,1.86501320177961,2.68831768801224,5000
F085,AUCinf_subC,19,5000,0.38,0.243413885088568,0.592772855938902,5000
F085,AUCinf_true,19,5000,0.38,0.243413885088568,0.592772855938902,5000
F085,AUClast,17,5000,0.34,0.212393679582944,0.543854477600129,5000
F085,Cmax,816,5000,16.32,15.3216069452449,17.3701054577741,5000
F085,joint_last_cmax,16,5000,0.32,0.197072782190237,0.519206083070639,5000
F085,joint_3rel,10,5000,0.2,0.108674686094389,0.367788427633301,5000
F085,joint_3all,15,5000,0.3,0.181892977763768,0.494416595574911,5000
F085,discord_last_pass_inf_fail,6,5000,0.12,0.0550083167759156,0.261577629262983,5000
F090,AUCinf_all,1666,5000,33.32,32.0267321617974,34.6388783750897,5000
F090,AUCinf_reliable,1715,5000,34.3,32.9966939265365,35.6274119145383,5000
F090,AUCinf_subC,1213,5000,24.26,23.0919028010816,25.4676184950499,5000
F090,AUCinf_true,1408,5000,28.16,26.9304306970981,29.423102523862,5000
F090,AUClast,1166,5000,23.32,22.1686431582586,24.5123214175297,5000
F090,Cmax,3662,5000,73.24,71.9953989726739,74.4489182409199,5000
F090,joint_last_cmax,1149,5000,22.98,21.8348955445035,24.1665910686074,5000
F090,joint_3rel,949,5000,18.98,17.9170261184543,20.090602110217,5000
F090,joint_3all,1112,5000,22.24,21.108877282822,23.4137455291676,5000
F090,discord_last_pass_inf_fail,203,5000,4.06,3.54729345989626,4.64324299481559,5000
F097,AUCinf_all,4912,5000,98.24,97.8367570718901,98.5691750444508,5000
F097,AUCinf_reliable,4816,5000,96.32,95.7615803139543,96.8072997778556,5000
F097,AUCinf_subC,4850,5000,97,96.4898893426598,97.4379466745049,5000
F097,AUCinf_true,4903,5000,98.06,97.6391691574641,98.4070393315771,5000
F097,AUClast,4843,5000,96.86,96.3394810180527,97.3085699556565,5000
F097,Cmax,4986,5000,99.72,99.5305274261626,99.8331322924209,5000
F097,joint_last_cmax,4841,5000,96.82,96.2965545369848,97.2715578528801,5000
F097,joint_3rel,4738,5000,94.76,94.1072709925061,95.3440043293723,5000
F097,joint_3all,4833,5000,96.66,96.1250483670754,97.1233096874119,5000
F097,discord_last_pass_inf_fail,105,5000,2.1,1.73779411325143,2.53575173308504,5000
F110,AUCinf_all,9529,20000,47.645,46.953335702689,48.3375687871353,20000
F110,AUCinf_reliable,9841,20000,49.205,48.5123548684509,49.8979504688783,20000
F110,AUCinf_subC,7969,20000,39.845,39.1685030669013,40.5253971853982,20000
F110,AUCinf_true,8896,20000,44.48,43.7924092940941,45.1697107839653,20000
F110,AUClast,7680,20000,38.4,37.7282433967477,39.076211839754,20000
F110,Cmax,16737,20000,83.685,83.1664446892978,84.1906178416024,20000
F110,joint_last_cmax,7572,20000,37.86,37.1901755484462,38.5344870869961,20000
F110,joint_3rel,6666,20000,33.33,32.6799511359542,33.9864513461564,20000
F110,joint_3all,7423,20000,37.115,36.447986656921,37.7869621122448,20000
F110,discord_last_pass_inf_fail,921,20000,4.605,4.32313826754724,4.9042966859865,20000
KE110,AUCinf_all,4890,5000,97.8,97.3552286601531,98.1713790338994,5000
KE110,AUCinf_reliable,4786,5000,95.72,95.1229884636575,96.2468128704865,5000
KE110,AUCinf_subC,4832,5000,96.64,96.1036318497323,97.1047569128328,5000
KE110,AUCinf_true,4893,5000,97.86,97.4206134768852,98.2259020929339,5000
KE110,AUClast,4823,5000,96.46,95.9110898174771,96.9375753177882,5000
KE110,Cmax,4998,5000,99.96,99.8542613498577,99.9890298717922,5000
KE110,joint_last_cmax,4823,5000,96.46,95.9110898174771,96.9375753177882,5000
KE110,joint_3rel,4705,5000,94.1,93.412411487236,94.71987720121,5000
KE110,joint_3all,4806,5000,96.12,95.5483430136584,96.6208441589296,5000
KE110,discord_last_pass_inf_fail,118,5000,2.36,1.97438914987378,2.81875749145126,5000
