scenario,arm,n_trials,n_reliable_mean,n_dropout_mean,wt_retained_mean,wt_dropout_mean,dropout_pct,model
F090,R,2000,85.689,31.311,99.4284405060243,104.365379034223,26.7615384615385,a
F090,T,2000,80.559,36.441,99.163156383896,104.279418953255,31.1461538461539,a
KE120,R,2000,85.689,31.311,99.4284405060243,104.365379034223,26.7615384615385,a
KE120,T,2000,85.3435,31.6565,99.3786636228176,104.479093075043,27.0568376068376,a
KM10,R,2000,85.689,31.311,99.4284405060243,104.365379034223,26.7615384615385,a
KM10,T,2000,91.232,25.768,99.9077856521069,103.789287282664,22.0239316239316,a
S00,R,2000,85.689,31.311,99.4284405060243,104.365379034223,26.7615384615385,a
S00,T,2000,85.7465,31.2535,99.4521081889104,104.356891806858,26.7123931623932,a
VM125,R,2000,85.689,31.311,99.4284405060243,104.365379034223,26.7615384615385,a
VM125,T,2000,73.4585,43.5415,98.7641193438757,104.118962520217,37.2149572649573,a
