scenario,arm,n_trials,n_reliable_mean,n_dropout_mean,wt_retained_mean,wt_dropout_mean,dropout_pct,model
F090,R,2000,92.238,24.762,99.4576211021507,105.573533387701,21.1641025641026,d
F090,T,2000,87.347,29.653,99.1530555658177,105.487740393512,25.3444444444444,d
KE120,R,2000,92.238,24.762,99.4576211021507,105.573533387701,21.1641025641026,d
KE120,T,2000,91.5345,25.4655,99.3735271992738,105.749035201384,21.7653846153846,d
KM10,R,2000,92.238,24.762,99.4576211021507,105.573533387701,21.1641025641026,d
KM10,T,2000,95.3715,21.6285,99.9660284396051,104.243071584935,18.4858974358974,d
S00,R,2000,92.238,24.762,99.4576211021507,105.573533387701,21.1641025641026,d
S00,T,2000,92.264,24.736,99.4541590680379,105.66714088519,21.1418803418803,d
VM125,R,2000,92.238,24.762,99.4576211021507,105.573533387701,21.1641025641026,d
VM125,T,2000,80.9645,36.0355,98.8018046483031,105.148606139628,30.7995726495727,d
