scenario,schedule,endpoint,n_trials,pass_rate,pass_lo,pass_hi,GMR_mean,GMR_lo,GMR_hi,width_mean_pp,n_R_mean,n_T_mean,model
F090,B0,Cmax,2000,54.2,52.0104658052629,56.3734309975746,0.878500341354827,0.876556993836642,0.880443688873013,15.3673765960872,117,117,d
F090,B0,AUClast,2000,12.7,11.3118611877447,14.2311505394368,0.831632983784735,0.829418075049445,0.833847892520025,18.01967704812,117,117,d
F090,B0,AUCinf_all,2000,23.05,21.2569608754526,24.9463679730069,0.850689037955995,0.848553962171217,0.852824113740773,17.2719216064617,111.3795,108.971,d
F090,B0,AUCinf_reliable,2000,23.35,21.5480652389595,25.2541133811312,0.857763573400871,0.855264521726403,0.860262625075339,19.8574648885274,83.5395,77.9425,d
F090,B0,AUCinf_true,2000,15.2,13.6933576210121,16.8400688697631,0.83621161577868,0.834119886838449,0.838303344718911,17.1317075362852,117,117,d
F090,B0,AUCinf_subC,2000,12.75,11.3593242836983,14.2834957387551,0.83135103515037,0.829115925894424,0.833586144406315,18.1404125205352,117,117,d
KE120,B0,Cmax,2000,97.5,96.7193228586802,98.0985576496007,0.963757952041512,0.961647613586241,0.965868290496783,16.7053542699179,117,117,d
KE120,B0,AUClast,2000,60.8,58.6416704618275,62.9169213168975,0.905820231260866,0.903450189847061,0.908190272674672,19.3113484735309,117,117,d
KE120,B0,AUCinf_all,2000,68.95,66.8874633125569,70.9398805954837,0.910412652824631,0.908169629018475,0.912655676630787,18.2782485743974,111.3795,110.6845,d
KE120,B0,AUCinf_reliable,2000,60.35,58.1882778476995,62.4720392735785,0.911750296567068,0.909171862871004,0.914328730263133,20.6719870849628,83.5395,82.9365,d
KE120,B0,AUCinf_true,2000,68.15,66.0750314948715,70.155379688819,0.90837712128421,0.906145288447578,0.910608954120842,18.3259411958252,117,117,d
KE120,B0,AUCinf_subC,2000,60.4,58.2386454521585,62.5214799643914,0.905961189267912,0.90357291502438,0.908349463511444,19.424764158238,117,117,d
KM10,B0,Cmax,2000,99.65,99.2792803746758,99.8303568302958,1.00332818389635,1.00115548943185,1.00550087836086,17.2143533313586,117,117,d
KM10,B0,AUClast,2000,94.65,93.5754264314357,95.5533812463484,1.01454599977545,1.01191048996052,1.01718150959038,21.4746355184374,117,117,d
KM10,B0,AUCinf_all,2000,96.3,95.3800119047189,97.0424695170371,0.983117779737097,0.980690373643988,0.985545185830206,19.8231987747531,111.3795,113.29,d
KM10,B0,AUCinf_reliable,2000,87.1,85.5595125271499,88.4982425645811,0.968729771214198,0.96598622346935,0.971473318959047,21.7989436166905,83.5395,90.062,d
KM10,B0,AUCinf_true,2000,97,96.1575830268561,97.6622145287062,1.00959911525329,1.00712788510839,1.0120703453982,20.2849814131709,117,117,d
KM10,B0,AUCinf_subC,2000,95.05,94.0099995010399,95.9172745389192,1.00890920608218,1.00628329845874,1.01153511370562,21.4095416290869,117,117,d
S00,B0,Cmax,2000,99.45,99.0177937248385,99.6926102990456,1.00081861243429,0.998643679898698,1.00299354496988,17.2296543449716,117,117,d
S00,B0,AUClast,2000,95,93.9555891065604,95.8718766381268,1.00063535053075,0.998013186634138,1.00325751442736,21.3490259742125,117,117,d
S00,B0,AUCinf_all,2000,97.5,96.7193228586802,98.0985576496007,1.00138014333059,0.998927117814594,1.00383316884658,20.0846912001496,111.3795,111.342,d
S00,B0,AUCinf_reliable,2000,90.75,89.400918458776,91.9428421878019,1.00141802706792,0.998590919862095,1.00424513427375,22.6276430523653,83.5395,83.5775,d
S00,B0,AUCinf_true,2000,97.25,96.4376888484893,97.8811501834323,1.00034310044277,0.997880292380774,1.00280590850477,20.2097851932492,117,117,d
S00,B0,AUCinf_subC,2000,94.75,93.683920970839,95.6445032974889,1.0008520002266,0.9982116528061,1.0034923476471,21.4603378778532,117,117,d
VM125,B0,Cmax,2000,93.2,92.0118300175707,94.2225370973291,0.945506249213544,0.943362944831739,0.947649553595349,16.8997477195983,117,116.9995,d
VM125,B0,AUClast,2000,15.75,14.2193778747281,17.4119398640377,0.839418463968887,0.837125791872081,0.841711136065693,18.5622178894239,117,116.9995,d
VM125,B0,AUCinf_all,2000,46.8,44.6214091059198,48.9908599966803,0.882790519121301,0.880548530465735,0.885032507776868,18.2961860396045,111.3795,105.6625,d
VM125,B0,AUCinf_reliable,2000,45.1,42.9307062809818,47.2880807823745,0.895746414110151,0.89300029886271,0.898492529357592,21.5103197990219,83.5395,70.6205,d
VM125,B0,AUCinf_true,2000,21.45,19.7066705967644,23.3027928029952,0.849908516359088,0.847732534613168,0.852084498105007,17.7696219122224,117,117,d
VM125,B0,AUCinf_subC,2000,15.3,13.7889455971245,16.9440974841944,0.837922057593702,0.835608819253453,0.84023529593395,18.6973777317535,117,116.9995,d
