model,model_variant,band,n,BMI_median,WT_median,extrap_true_median,extrap_true_p95,extrap_true_max,coverage_lt80_pct,extrap_nca_median,extrap_gt20_pct,reliable_pct,reliable_rsq_extrap_pct,lambda_fail_pct,tlast_median,AUClast_geo,AUClast_logcv,dev_range_note,jitter
a,base,40-60,20000,17.2481201226696,49.9482711195014,0.506073583814232,2.69350693287506,23.5706314804976,0.005,2.14409940058852,0.581337075273128,84.85,90.805,0.23,41.7897856808268,860.378082512536,38.8709995311866,"",TRUE
a,base,60-75,20000,23.2392528580886,67.48971268069,0.611365159591226,3.24122816038436,15.0844206263364,0,2.58801131061222,0.881567679210115,82.36,88.065,0.745,35.1833351862151,614.498802887309,38.3495010569543,"",TRUE
a,base,75-90,20000,28.5023903210294,82.564512421377,0.739171400210592,4.02740579025863,19.2025479271362,0,2.99538042541323,1.59522960093777,78.37,84.41,1.895,34.2598012015224,487.667834490439,39.7701897523528,"",TRUE
a,base,90-110,20000,34.5023817092486,99.8885076725855,0.900469028796669,5.20875775076649,18.4503258209719,0,3.53345422817031,2.91252072968491,73.795,80.35,3.52,28.3173629695084,386.067878497537,40.6954999396535,"",TRUE
a,base,110-130,20000,41.4336614378919,120.096906381659,1.12570564806951,6.64559163755898,18.4947202017042,0,4.15711234026538,4.90576055216353,67.73,75.38,5.825,27.5577102974057,306.787559932961,42.8188965460938,"",TRUE
a,base,130-150,20000,48.3479595546248,139.980158158578,1.40432558291915,8.46409286552525,21.6777843759374,0.01,4.83988639285414,7.43837787615456,62.22,70.85,8.515,21.8747058357112,250.575243603193,44.5786148252391,"개발 자료 범위 확인 불가, 외삽 가능성",TRUE
b,struct2020,40-60,20000,17.2571415852552,50.1413590088487,0.50854871397194,2.88325792535775,17.635237454288,0,2.29570650540197,0.385520452611025,85.835,94.1,0.135,42.3586978721432,915.672762931251,40.345130074934,"",TRUE
b,struct2020,60-75,20000,23.2429871683426,67.4442694854224,0.579926036995898,3.2671600364412,22.5888368555293,0.005,2.67473779797993,0.522166993021037,85.07,92.48,0.415,35.8675034898333,658.397297378169,41.4517322373702,"",TRUE
b,struct2020,75-90,20000,28.5024878761135,82.6055649435148,0.71067993845661,3.92222673658418,15.1909391759061,0,3.22110648673011,1.10344132614501,82.49,90.685,0.765,34.8896772740409,522.235889893954,42.4857691475943,"",TRUE
b,struct2020,90-110,20000,34.4498966774989,99.9150978541002,0.837994912437928,5.01205226587884,23.7278550580628,0.005,3.75744056986886,2.08227268098972,78.54,88.03,1.79,34.0690841437317,413.771545562937,44.8386128891752,"",TRUE
b,struct2020,110-130,20000,41.4472616128862,119.99747778289,1.07662192552726,6.19677458375438,20.3357287842416,0.005,4.56542463141291,3.81168229113011,73.885,85.095,2.93,28.1952619745862,328.12868766996,47.0092844971248,"",TRUE
b,struct2020,130-150,20000,48.3605449123992,139.887079354376,1.25354730641454,7.41850141434888,22.2869523041218,0.005,5.09922042044977,5.5807646169092,70.09,81.99,4.135,27.6158665218391,271.244306098604,48.8106245093199,"개발 자료 범위 확인 불가, 외삽 가능성",TRUE
c,k2016_bmi,40-60,20000,17.2308871258641,50.0677214399912,0.532673012293333,3.20739621947176,21.9679006467504,0.01,2.27218327855777,0.836757190099208,82.735,90.515,0.21,42.5343355669174,938.233321387882,39.821443102251,"",TRUE
c,k2016_bmi,60-75,20000,23.2901797671731,67.4902964907233,0.596905245912127,3.19454236232209,18.1656202102911,0,2.53219107999949,0.755629439322956,81.74,87.95,0.745,35.3665668694302,625.750138843665,39.1718253301836,"",TRUE
c,k2016_bmi,75-90,20000,28.4596291265513,82.4744385690428,0.758714082993645,4.14221535363746,16.5841728464541,0,3.08639539093203,1.60485021398003,78.315,84.6,1.86,34.1492666213308,479.531906577607,39.4491120602822,"",TRUE
c,k2016_bmi,90-110,20000,34.4633589179242,100.057831262238,0.954335746230062,5.44268931716606,17.1255814288291,0,3.60804979867235,3.09727626459144,73.33,80.26,3.625,28.0326789258979,364.866107828456,41.0987268916205,"",TRUE
c,k2016_bmi,110-130,20000,41.4119286960195,119.926900083665,1.26743927633199,7.24621521110341,40.2531742482601,0.00500025001250063,4.34386895490614,5.44490844844202,66.85,75.03,6.61,27.132373880595,281.488270913824,42.6142053795612,"",TRUE
c,k2016_bmi,130-150,20000,48.3739978566318,140.04150374094,1.56271662914481,9.20531643094818,19.9759669013947,0,5.02725966850702,8.07422543767604,60.91,69.735,9.465,21.4095786400139,226.94269731774,44.1407121945925,"개발 자료 범위 확인 불가, 외삽 가능성",TRUE
d,k2016_bmi_vc0817,40-60,20000,17.209327029516,49.9431603262201,0.536535454912013,3.57449452531405,22.8219219083828,0.02,2.22181668928378,1.14165540033048,82.025,90.32,0.145,42.9721944625489,1006.97641261361,40.2255987043694,"",TRUE
d,k2016_bmi_vc0817,60-75,20000,23.3026793891371,67.6150070910808,0.603893893079843,3.18239853782811,18.5304797291459,0,2.54577276563784,0.787202906595347,82.37,88.24,0.915,35.4371658919845,639.765760987378,38.9064474549487,"",TRUE
d,k2016_bmi_vc0817,75-90,20000,28.4682694317148,82.4461544305086,0.74858587615545,4.19145461849177,16.2317739338811,0,3.04264977402593,1.54959730859415,78.255,84.315,1.91,34.1123575482052,471.925664637641,40.0689133033669,"",TRUE
d,k2016_bmi_vc0817,90-110,20000,34.484848816709,99.9711426859722,1.02039677270587,5.65037728952528,22.1914329539601,0.005,3.75383347978552,3.42988601903168,72.665,79.27,4.37,27.8595492620952,346.112609666556,41.9808211414151,"",TRUE
